name,lon,lat,area_ha,reason,wltype,url
"Должинское болото","30.53333","57.78333","3500","1","U, O","http://www.fesk.ru/wetlands/111.html"
"Озеро Ильмень и дельты рек Мета, Ловать, Шелонь","31.33333","58.25","225000","1, 3, 4, 5, 7, 8","O, Ts, L, M, P, Xf, 4","http://www.fesk.ru/wetlands/112.html"
"Верхневолжский водно-болотный комплекс","32.88333","57.08333","250000","1, 3, 4","Xp, U, Tp, O, M","http://www.fesk.ru/wetlands/113.html"
"Озеро Верестово","36.58333","57.93333","3200","1, 3, 4, 8","O, Ts, Tp, Xf, U","http://www.fesk.ru/wetlands/114.html"
"Рыбинское водохранилище","37.83333","58.70139","455000","1, 2, 3, 4, 8","O, Ts, Xf, Xp, M","http://www.fesk.ru/wetlands/115.html"
"Междуречье Шапкиной и Ерсы","53.0","66.43333","","1, 3","U, Xp, O, M","http://www.fesk.ru/wetlands/116.html"
"Пойма реки Клязьма от города Ковров до устья","42.15","56.78333","","1, 2, 3","Ts, M, O, P, Tp, Xf","http://www.fesk.ru/wetlands/117.html"
"Дубненский болотный массив (Журавлиная Родина)","37.76667","56.68333","25000","1, 3, 4","Xf, Xp, Tp, Ts, O, M","http://www.fesk.ru/wetlands/118.html"
"Фаустовская пойма реки Москва","38.6","55.31667","5000","1, 3, 4, 5","Ts, 4, Tp, O, P","http://www.fesk.ru/wetlands/119.html"
"Дединовско-Белоомутская пойма реки Оки","39.3","55.16667","20000","1, 3, 4","4, Ts, O, P","http://www.fesk.ru/wetlands/120.html"
"Междуречье Десны и Быстрика и Деснянско-Жеренский заказник","33.66667","52.46806","19000","1, 3, 4, 5","Ts, Tp, P, O, Xf","http://www.fesk.ru/wetlands/121.html"
"Нерусско-Деснянское полесье","34.0","52.5","25000","1, 2, 3","Ts, Tp, P, O, Xf","http://www.fesk.ru/wetlands/122.html"
"Болото Ендовище","34.9","52.85","8","1, 2, 3","U","http://www.fesk.ru/wetlands/123.html"
"Болота Разрезное и Попово","40.56667","52.21667","9","1, 2, 3","U","http://www.fesk.ru/wetlands/124.html"
"Болота Карасёвка и Сосновка","40.08333","52.83333","23","1, 2, 3","U","http://www.fesk.ru/wetlands/125.html"
"Болото Клюквенное (Липецкая область)","40.05","52.55","10","1, 2, 3","U","http://www.fesk.ru/wetlands/126.html"
"Болото Осинское","39.78333","52.75","15","1, 2, 3","U","http://www.fesk.ru/wetlands/127.html"
"Пойма реки Воронеж","39.48333","52.33333","54750","1, 2, 3","M, O, Tp, Ts, U, Xf, 1, 4","http://www.fesk.ru/wetlands/128.html"
"Кошеляевское Болото","41.51667","52.78333","3","2, 3","U","http://www.fesk.ru/wetlands/129.html"
"Большое Клюквенное болото","42.33333","51.75","22","1, 2, 3","U","http://www.fesk.ru/wetlands/130.html"
"Зоринские болота","36.4","51.23333","10","1, 2, 3","U","http://www.fesk.ru/wetlands/131.html"
"Болото Моховое (Белгородская область)","35.56667","50.48333","7","2, 3","U","http://www.fesk.ru/wetlands/132.html"
"Болото Клюквенное (Воронежская область)","39.53333","51.8","1","2, 3","U","http://www.fesk.ru/wetlands/133.html"
"Болото Дерюжкино","42.38333","51.26667","8","2, 3","U","http://www.fesk.ru/wetlands/134.html"
"Болото Моховое (Саратовская область)","46.16667","52.18333","28","1, 2, 3","U","http://www.fesk.ru/wetlands/135.html"
"Куйбышевское водохранилище в окрестностях города Булгар","49.2","55.0","25000","1, 2, 3, 5","O","http://www.fesk.ru/wetlands/136.html"
"Нижнекамское водохранилище в приустьевой части рек Ик и Белая","53.48333","55.75","18600","1, 2, 3, 5","O, Ts","http://www.fesk.ru/wetlands/137.html"
"Волго-Ахтубинская пойма","46.33333","47.73472","840000","1, 2, 3, 5, 7, 8","M, O, P, Ts","http://www.fesk.ru/wetlands/138.html"
"Пойма среднего течения реки Илек","55.0","51.11667","30000","1, 2, 3","M, N, O","http://www.fesk.ru/wetlands/139.html"
"Озёрная степь Урало-Тобольского плато","61.0","51.0","534200","1, 3","Q, P","http://www.fesk.ru/wetlands/140.html"
"Нижний Дон","40.5","47.61667","284000","1, 3, 7","L, J, P, 1","http://www.fesk.ru/wetlands/141.html"
"Бейсугский лиман и озеро Ханское","38.38333","46.16667","48000","1, 2, 5","K, J, H, E","http://www.fesk.ru/wetlands/142.html"
"Ейский лиман","38.45","46.7","28400","1, 2, 3","J, E","http://www.fesk.ru/wetlands/143.html"
"Кизилташские лиманы","37.05","45.11667","40400","1, 2, 3, 4, 5","E, J","http://www.fesk.ru/wetlands/144.html"
"Динской залив Чёрного моря","36.76667","45.38333","5000","1, 3, 4, 5","A, E","http://www.fesk.ru/wetlands/145.html"
"Озёра Маныч-Гудило и Восточный Маныч","43.25","46.08333","70000","1, 3, 5, 6","Q","http://www.fesk.ru/wetlands/146.html"
"Чограйское водохранилище (река Восточный Маныч)","44.5","45.5","30000","1, 2, 3, 4, 5, 6","O, P, Tp","http://www.fesk.ru/wetlands/147.html"
"Сарпинские озёра и озеро Деед-Хулсун","45.0","47.4","460000","1, 2, 3, 8","O, P, Tp, L, N, Q, R, 1, 3, 8, 9","http://www.fesk.ru/wetlands/148.html"
"Морской Бирючок (северо-восточное побережье Каспия)","47.16667","44.91667","30000","1, 4, 5, 6","A, G","http://www.fesk.ru/wetlands/149.html"
"Западный Ильменно-Бугровой район","47.41667","46.00139","100000","1, 3, 5","O, Q, 9, 8, 4","http://www.fesk.ru/wetlands/150.html"
"Кизлярский залив Каспийского моря","46.91667","44.58333","200000","1, 3, 4, 5, 8","A, E, H","http://www.fesk.ru/wetlands/151.html"
"Аграханский залив и дельта реки Терек","47.51667","43.75","15000","1, 3, 4, 5, 7, 8","A, I, E, O","http://www.fesk.ru/wetlands/152.html"
"Бассейны рек Южного Ямала","68.66667","67.33333","690000","1, 2, 3, 7, 8","L, M, O, P","http://www.fesk.ru/wetlands/153.html"
"Бассейны рек Западного Ямала","68.50139","71.00139","650000","1, 3, 5, 7, 8","A, B, E, F, J, L, M, O, P, Vt","http://www.fesk.ru/wetlands/154.html"
"Долина реки Юрибей","70.66667","68.83333","150000","1, 2, 3, 4, 5, 7, 8","A, F, L, M, Vt","http://www.fesk.ru/wetlands/155.html"
"Низовье реки Мессо","78.33333","68.16667","290000","1, 5, 7, 8","F, K, L, Ts","http://www.fesk.ru/wetlands/156.html"
"Бассейн реки Морды-Яха","68.25","70.33333","250000","1, 3, 5, 7, 8","A, B, E, F, J, L, M, O, P, Vt","http://www.fesk.ru/wetlands/157.html"
"Остров Белый (с проливом Малыгина)","70.8","73.08333","290000","1, 2, 3, 5, 7, 8","A, E, F, G, H, J, O, Vt","http://www.fesk.ru/wetlands/158.html"
"Озёра северо-востока Гыданского полуострова","79.75","71.33333","210000","1, 2, 3, 4, 5, 6","O","http://www.fesk.ru/wetlands/159.html"
"Острова в Карском море к северу от Гыданского полуострова","74.75","72.98333","176850","1, 2, 5","A, E, G, O, Vt","http://www.fesk.ru/wetlands/160.html"
"Дельта реки Пур","77.75","67.16667","30000","1, 5, 8","F, O, M, U","http://www.fesk.ru/wetlands/161.html"
"Низовье реки Таз","79.83333","67.16667","350000","1, 5, 7, 8","F, K, L, Ts","http://www.fesk.ru/wetlands/162.html"
"Дельта реки Пясина","87.33333","73.8","225000","1, 3, 5, 6, 8","A, L, M, E, Ts","http://www.fesk.ru/wetlands/163.html"
"Правобережье реки Дудыпта","92.33333","71.53333","615000","1, 3, 4","Vt, O, Tp, M","http://www.fesk.ru/wetlands/164.html"
"Бассейн реки Гусиха с низовьями реки Большая Балахня","106.76667","73.78333","416000","1, 3, 5","A, F, M, O, P, Ts, Vt","http://www.fesk.ru/wetlands/165.html"
"Остров Сибирякова","79.01667","72.88472","83500","1, 3, 7","A, B, E, F, N, Vt","http://www.fesk.ru/wetlands/166.html"
"Низовья реки Нижняя Таймыра","99.9","76.01667","448000","1, 3, 4, 5, 8","A, B, E, F, G, M, Ts, Vt","http://www.fesk.ru/wetlands/167.html"
"Низовья реки Ленинградская","102.0","76.28333","352000","1, 3, 5, 8","A, F, M, O, Ts, Vt","http://www.fesk.ru/wetlands/168.html"
"Остров Олений и побережье Юрацкой губы","78.0","72.33333","340000","1, 3, 4, 5","M, Vt, Tp, B","http://www.fesk.ru/wetlands/169.html"
"Острова Известий ЦИК","83.0","75.91667","9100","1, 3, 5, 8","A, D, J, N, Vt","http://www.fesk.ru/wetlands/170.html"
"Архипелаг Норденшельда","96.16667","77.25","200000","1, 3, 4, 5","D, B, Vt","http://www.fesk.ru/wetlands/171.html"
"Озеро Курлуска и среднее течение реки Боганида","95.66667","71.16667","350000","1, 2, 3, 4","O, M, Vt, Tp","http://www.fesk.ru/wetlands/172.html"
"Бассейн реки Волочанка","93.66667","70.83333","220000","1, 2, 3, 4","Tp, Xp, M","http://www.fesk.ru/wetlands/173.html"
"Низовья реки Верхняя Таймыра","99.16667","74.08333","330000","1, 3, 4, 5","M, L, O, Vt","http://www.fesk.ru/wetlands/174.html"
"Многоозёрья в междуречье Пяку-Пура и Надыма","74.66667","64.25","269500","1, 3, 4, 5","O, U","http://www.fesk.ru/wetlands/175.html"
"Группа озёр в междуречье Часельки и Харампура","78.75","64.33333","30000","1, 5, 8","O, M, U","http://www.fesk.ru/wetlands/176.html"
"Юртовское многоозёрье в междуречье Вэнга-Пура и Еты-Пура","77.33333","63.63333","137500","1, 5","O, U","http://www.fesk.ru/wetlands/177.html"
"Озёрные системы бассейна реки Большая Хадыр-Яха","79.16667","65.41667","30000","1, 5, 8","O, M, U","http://www.fesk.ru/wetlands/178.html"
"Многоозёрье левобережья реки Пур","77.25","65.16667","30000","1, 5","O, M, U","http://www.fesk.ru/wetlands/179.html"
"Чертовская система озёр","80.0","64.16667","50000","1, 5","O, Ts, Xp, M","http://www.fesk.ru/wetlands/180.html"
